Daily_2K_Player_Stats_Report_2023-08-03[29],,,,,,,,,,,,,,,,,,,,,,,
Person_id,Player,Team,GP,Min,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT%,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,Pos.
1600246,DT,76ers GC,31,949,89,187,0.476,70,141,0.496,6,7,0.857,17,113,130,55,69,43,25,32,254,PF
1630398,630,76ers GC,31,949,247,398,0.621,95,197,0.482,38,41,0.927,1,9,10,147,52,37,66,0,627,SG
1630400,Dre,76ers GC,31,949,197,368,0.535,122,254,0.48,50,51,0.98,1,16,17,253,41,23,75,1,566,PG
1630420,UnderRatedGoat,76ers GC,31,949,127,186,0.683,33,57,0.579,6,6,1,18,19,37,32,63,42,13,4,293,SF
1630973,DJ,76ers GC,31,949,210,256,0.82,0,0,0,22,26,0.846,113,211,324,92,33,28,45,30,442,C
1600049,Lavish,Blazer5 Gaming,24,819,102,169,0.604,24,64,0.375,3,4,0.75,15,18,33,42,57,40,21,8,231,SF
1600095,Jomar,Blazer5 Gaming,24,819,108,154,0.701,21,40,0.525,13,13,1,70,153,223,56,27,21,34,15,250,C
1630411,KayAus,Blazer5 Gaming,24,819,95,164,0.579,40,81,0.494,5,5,1,33,124,157,64,34,34,25,20,235,PF
1631336,Harby,Blazer5 Gaming,24,819,141,245,0.576,67,145,0.462,17,18,0.944,0,6,6,106,62,25,48,1,366,SG
1641572,Claude,Blazer5 Gaming,24,819,199,339,0.587,72,164,0.439,48,51,0.941,1,9,10,167,30,15,67,0,518,PG
1600011,OneWildWalnut,Bucks Gaming,21,636,101,144,0.701,20,40,0.5,18,21,0.857,67,140,207,45,20,22,12,28,240,C
1630422,BxmpyDon,Bucks Gaming,21,636,65,111,0.586,33,64,0.516,4,4,1,14,48,62,28,46,34,14,10,167,SF
1630428,dawsix,Bucks Gaming,21,636,53,95,0.558,30,60,0.5,3,4,0.75,13,55,68,60,71,34,19,10,139,PF
1630955,Cooks,Bucks Gaming,21,636,145,284,0.511,65,158,0.411,27,28,0.964,3,7,10,166,15,17,40,0,382,PG
1630963,JohhnyRed,Bucks Gaming,21,636,216,334,0.647,73,149,0.49,26,27,0.963,2,4,6,96,36,22,36,1,531,SG
1600052,Yusuf Scarbz,Cavs Legion GC,20,633,86,114,0.754,6,13,0.462,13,14,0.929,76,131,207,51,28,12,34,19,191,C/PF
1630399,YooVc,Cavs Legion GC,20,633,83,137,0.606,35,73,0.479,10,12,0.833,28,66,94,24,49,28,13,13,211,PF/C
1630408,ANTOINE,Cavs Legion GC,20,633,125,243,0.514,53,136,0.39,34,38,0.895,0,4,4,181,16,10,51,0,337,PG
1630416,Faiz,Cavs Legion GC,20,633,124,230,0.539,57,142,0.401,12,13,0.923,0,4,4,60,56,19,19,0,317,SF
1641575,SubGoated,Cavs Legion GC,20,633,91,157,0.58,42,82,0.512,7,8,0.875,8,17,25,10,44,34,9,4,231,SF
1600056,Colt,Celtics Crossover Gaming,14,389,65,88,0.739,0,0,0,5,6,0.833,62,97,159,27,18,11,24,14,135,C
1630394,FT,Celtics Crossover Gaming,14,389,82,158,0.519,33,94,0.351,9,10,0.9,1,2,3,44,38,10,15,0,206,SG
1630401,TayZo,Celtics Crossover Gaming,14,389,45,81,0.556,15,37,0.405,7,7,1,9,11,20,11,31,35,12,4,112,PF
1641573,Chrizzy,Celtics Crossover Gaming,14,389,37,70,0.529,31,58,0.534,4,5,0.8,10,33,43,14,33,20,7,6,109,PF
1641574,Leche,Celtics Crossover Gaming,14,389,124,233,0.532,66,141,0.468,10,12,0.833,0,3,3,97,13,9,50,0,324,PG
1600200,Lord Beezus,DUX Infinitos,22,754,69,113,0.611,25,53,0.472,1,2,0.5,16,55,71,29,64,23,15,17,164,PF
1600249,Vandi,DUX Infinitos,22,754,166,281,0.591,82,154,0.532,23,24,0.958,2,10,12,134,35,10,46,0,437,PG
1630075,Killeyy,DUX Infinitos,22,754,188,307,0.612,70,146,0.479,24,25,0.96,5,4,9,105,63,35,49,0,470,SG
1630967,Hes,DUX Infinitos,22,754,47,100,0.47,19,58,0.328,0,0,0,6,35,41,24,45,28,6,3,113,SF
1631270,LowkeyGodlike,DUX Infinitos,22,754,120,172,0.698,18,34,0.529,1,1,1,57,124,181,78,21,31,28,22,259,C
1600039,FEAST,Gen.G Tigers,24,693,157,192,0.818,0,0,0,10,11,0.909,107,163,270,50,35,34,41,22,324,C
1630048,Crush,Gen.G Tigers,24,693,60,105,0.571,21,44,0.477,8,8,1,12,33,45,31,61,44,14,7,149,SF
1630395,Anias,Gen.G Tigers,24,693,47,82,0.573,29,52,0.558,0,0,0,13,62,75,33,57,26,18,14,123,PF
1630966,gallow,Gen.G Tigers,24,693,164,323,0.508,86,201,0.428,28,32,0.875,0,9,9,210,25,16,61,0,442,PG
1630968,ReturnOfDJ,Gen.G Tigers,24,693,184,334,0.551,89,193,0.461,19,21,0.905,3,2,5,71,36,24,35,0,476,SG
1600004,Dimez,Grizz Gaming,18,483,103,125,0.824,0,0,0,18,20,0.9,64,115,179,50,39,14,25,13,224,C
1600009,ReeseDaGod,Grizz Gaming,18,483,97,193,0.503,36,84,0.429,10,10,1,2,3,5,35,50,22,24,0,240,SG
1600236,Jrod,Grizz Gaming,18,483,43,84,0.512,31,60,0.517,2,4,0.5,12,69,81,18,15,9,14,9,119,PF
1630091,Spartxn,Grizz Gaming,17,459,59,94,0.628,19,33,0.576,6,6,1,13,15,28,21,54,38,9,3,143,SF/C
1641577,CP,Grizz Gaming,18,483,161,281,0.573,62,131,0.473,52,53,0.981,3,6,9,155,33,7,53,2,436,PG
